id,titulaire-prenom,titulaire-nom,titulaire-soutien,famille,annee,candidat,parti_soutien,nb_mots,emb_peuple,emb_elite,emb_souverainete,emb_manicheisme,emb_total,zs_peuple,zs_elite,zs_souverainete,zs_manicheisme,zs_total,n_chunks
EL065_L_1973_03_001_01_1_PF_01,Paul,Barberot,Centre progrès et démocratie moderne;Union des républicains de progrès,Droite,1973,Paul Barberot,Centre progrès et démocratie moderne;Union des républicains de progrès,492,0.7544170022010803,0.7314034700393677,0.7317022085189819,0.7135083675384521,2.9310309886932373,0.9969005584716797,0.8669090867042542,0.9052385687828064,0.9936363697052002,3.7626845836639404,3
EL065_L_1973_03_001_01_1_PF_02,Roland,Monnet,Parti socialiste;Mouvement des radicaux de gauche,Gauche,1973,Roland Monnet,Parti socialiste;Mouvement des radicaux de gauche,828,0.7641322612762451,0.7497658133506775,0.6719549298286438,0.6944635510444641,2.8803164958953857,0.5087881684303284,0.9997074604034424,0.8854829668998718,0.9994263052940369,3.3934049010276794,4
EL065_L_1973_03_001_01_1_PF_03,Michel,Chomarat,non mentionné,,1973,Michel Chomarat,non mentionné,390,0.7370787858963013,0.6900116205215454,0.6540307402610779,0.66389399766922,2.7450151443481445,0.9973477125167847,0.9990563988685608,0.9733169078826904,0.999643087387085,3.969364106655121,3
EL065_L_1973_03_001_01_1_PF_04,Marcel,Benoit,Parti communiste français,Extrême gauche,1973,Marcel Benoit,Parti communiste français,1061,0.7635962963104248,0.7205920219421387,0.6586869955062866,0.7025812864303589,2.845456600189209,0.9995719790458679,0.9957889914512634,0.9993999600410461,0.9993929266929626,3.99415385723114,5
EL065_L_1973_03_001_01_1_PF_05,Jacques,Boyon,non mentionné,,1973,Jacques Boyon,non mentionné,1090,0.7247231006622314,0.7080268859863281,0.7022600173950195,0.7125520706176758,2.847562074661255,0.9871168732643127,0.8580062389373779,0.8238958716392517,0.9992251396179199,3.6682441234588623,5
EL065_L_1973_03_001_01_1_PF_06,Paul,Morin,Mouvement réformateur;Parti radical-socialiste,Gauche,1973,Paul Morin,Mouvement réformateur;Parti radical-socialiste,580,0.7314877510070801,0.6891815662384033,0.5842251777648926,0.63970947265625,2.644603967666626,0.011029469780623913,0.5930202007293701,0.013808658346533775,0.4137139916419983,1.031572320498526,3
EL065_L_1973_03_001_01_1_PF_07,Bernard,Jaquinod,Parti socialiste unifié,Gauche,1973,Bernard Jaquinod,Parti socialiste unifié,670,0.7128181457519531,0.7433959245681763,0.7374001741409302,0.76014244556427,2.953756809234619,0.9994184374809265,0.9981862902641296,0.9608783721923828,0.9996010065078735,3.9580841064453125,4
EL065_L_1973_03_001_02_1_PF_01,Marcel,Anthonioz,Républicain indépendant;Union des républicains de progrès,Droite,1973,Marcel Anthonioz,Républicain indépendant;Union des républicains de progrès,2066,0.766261637210846,0.7376593351364136,0.6882052421569824,0.7165416479110718,2.908668041229248,0.9862444400787354,0.998091995716095,0.9468429684638977,0.9953814744949341,3.926560878753662,9
EL065_L_1973_03_001_02_1_PF_02,Guy,Chavanne,Parti communiste français,Extrême gauche,1973,Guy Chavanne,Parti communiste français,1084,0.7738175392150879,0.7119748592376709,0.6844213008880615,0.707374095916748,2.8775877952575684,0.9996781349182129,0.9957602024078369,0.9996898174285889,0.9995280504226685,3.994656205177307,5
EL065_L_1973_03_001_02_1_PF_03,Robert,Meriaudeau,Parti socialiste;Mouvement des radicaux de gauche,Gauche,1973,Robert Meriaudeau,Parti socialiste;Mouvement des radicaux de gauche,1252,0.7417428493499756,0.735166609287262,0.6480530500411987,0.6815251111984253,2.806487560272217,0.986777126789093,0.6113819479942322,0.736779510974884,0.9967900514602661,3.3317286372184753,6
EL065_L_1973_03_001_02_1_PF_04,Maurice,Bardet,aucune appartenance politique,,1973,Maurice Bardet,aucune appartenance politique,399,0.7825542688369751,0.7201083898544312,0.6878679990768433,0.7452079653739929,2.9357388019561768,0.05094091221690178,0.890007734298706,0.005565723869949579,0.7964508533477783,1.7429652237333357,2
EL065_L_1973_03_001_02_1_PF_05,André,Autin,Mouvement réformateur,Centre,1973,André Autin,Mouvement réformateur,357,0.6333215832710266,0.6063471436500549,0.5549915432929993,0.5706560611724854,2.365316390991211,0.4834045469760895,0.8758400678634644,0.2538610100746155,0.9972316026687622,2.6103372275829315,2
EL065_L_1973_03_001_02_1_PF_06,Jacques,Duthion,Parti socialiste unifié,Gauche,1973,Jacques Duthion,Parti socialiste unifié,665,0.71540766954422,0.7304519414901733,0.7393898963928223,0.7600252628326416,2.945274829864502,0.9995280504226685,0.9987231492996216,0.975669801235199,0.9996374249458313,3.9735584259033203,4
EL065_L_1973_03_001_02_1_PF_07,Roland,Bénier,Front des jeunes progressistes,,1973,Roland Bénier,Front des jeunes progressistes,500,0.7256825566291809,0.6972315311431885,0.7059935331344604,0.7371182441711426,2.866025924682617,0.9831822514533997,0.9162970781326294,0.6961649060249329,0.9986929893493652,3.594337224960327,3
EL065_L_1973_03_001_03_1_PF_01,Guy de,La Verpillière,Républicain indépendant;Union des républicains de progrès,Droite,1973,Guy de La Verpillière,Républicain indépendant;Union des républicains de progrès,988,0.766606330871582,0.7023151516914368,0.6955570578575134,0.6868108510971069,2.8512892723083496,0.9992847442626953,0.7178038358688354,0.9885196089744568,0.9653607606887817,3.6709689497947693,5
EL065_L_1973_03_001_03_1_PF_02,Louis,Lamarche,Mouvement des radicaux de gauche,Gauche,1973,Louis Lamarche,Mouvement des radicaux de gauche,885,0.7466545104980469,0.728725790977478,0.6633350849151611,0.6776384115219116,2.8163537979125977,0.48108813166618347,0.8747207522392273,0.5421513319015503,0.9969663023948669,2.894926518201828,4
EL065_L_1973_03_001_03_1_PF_03,Charles,Romieux,Parti socialiste unifié,Gauche,1973,Charles Romieux,Parti socialiste unifié,677,0.7248520851135254,0.7541781663894653,0.7317995429039001,0.7586196660995483,2.969449520111084,0.999880850315094,0.9996976256370544,0.6911587119102478,0.9996910691261292,3.6904282569885254,4
